Nama,No telepon 
DUTA RAYA PERSADA,62315923169
CATURSTUDIO,623170705303
PT. BEST BEDSHEETS INTERNATIONAL,62-31-70147015
KMS STONE CENTER,62-31-70147015 / 62-81-23142315
KIKIKOKO COLLECTIONS,62-31-5938824
CAROUSEL HOME DECOR SOLUTION,62-31-5922126
PT.ANUGRAH DHARMA KENCANA (ADK),62-31-8554321
CV. HAVILA RAYA,+62-031-5044678
CV.INTIGRAFIKA,+62-31-70849953
CV. PACIFIC INDOCHEM,62-31-70492115
MAWAR PLASTIK,62354775794
FINGERS ELEVEN DOTCOM,351383430 (+62-351383430)
UD. PUTRA MANDIRI,031-70732230 (+62-031-70732230)
KURNIA TOYS,62-031-3533920
UD. SETIA JAYA,0341 - 366960 (+62-0341 - 366960)
PRESISI MAKET,(031) 3719822 (+62-(031) 3719822)
PT. SIPRAMA KOMUNINDO,62315311537
HUB LOGISTIC,62818334977
BINA MANDIRI,6281333327041
BIOMASS,62318415322
PT. FE INTERNATIONAL LOGISTIC,+62-31-3282350
PT BEECO UTAMA MANDIRI,623160732723
PT. KARTIKA EKA YUDHA MARITIM,62-31-3281773
PT. PELAYARAN BINA HASRAT MURNI,(031)3284190 (+62-(031)3284190)
PT. SIANTAN KEMBANG DIVISI BUNKER SERVICE,62313294832
PT MANDIRI ARMADA LINES,"+62 31-70089099, 70088189"
FORUMJUALAN.COM,316061185 (+62-316061185)
GARIS TEPI - GARISTEPI BOJONEGORO,62-8121-654422
CV.MUTIARA,+62-338677519
DIMENSI GRAPHIC,62 31 5350877
YANG JAYA STATIONERY,62315341357
AL QURAN DIGITAL FATUMINDO HASBA PERSADA,031-72021416 (+62-031-72021416)
NATHANIEL MEDIA,62-31-60217323
PT. YULIA SHINTA INDONESIA,62-31-5024825
BABYLIFE,031-70249210 (+62-031-70249210)
HAWAITTA,620341409175
RAFLESIA-ART,0321 7269411 (+62-0321 7269411)
CV. DUTA MULYA PERKASA,623217269411
PT. KPOT,62-31-3988257
PT. RAJAWALI LINTAS,031 3535017 (+62-031 3535017)
PT. RAJAWALI LINTAS BUANA,+62 31 72040702
BRAVOIND-081330898900,62-31 70970900 / 031 8664121
ORIENT STAR PLASTIC,+62-31-3765771
WIRANI GROUP,+62-31-70400063
PT. SAIDAH JAYA TOURS AND TRAVEL,031 866-6651 (+62-031 866-6651)
UD AMIN,"+62 355 396 663, +62 815 8097 429"
UDPELANGI,031-8923830 (+62-031-8923830)
PT. BINA SATRIA ABADI SENTOSA,62-31-7912424
EMAS JAYA 'N CO.,628155100897
UD WIJAYA 99,62-356-411044/46
PT. BINTANG INDAH GEMILANG,62-31-8986168
TMKWONG PTY LTD.,62-31-5678744
RONGGOLAWE PORTRAIT,62315682812
INDAH JAYA MANDIRI ( INDAHFOOD ),62-31-70677067
PT. EVER TEKSTINDO,62-31-7507202
JASMINE BEDDING & CRAFT,62-31-5672349
"PD GARUDA (MEDAN, JAKARTA, SURABAYA)",62-31-5357077
UDSRIREDJEKI,+62-343-421872
PT. MITRADAYA PETIKEMAS SERVICATAMA,62-31-7495325
PT. BESI BETON INTERNATIONAL,62-31-7014-7015
PT. MATAHARI MKM,62315033172
TEKNOTANI (LABORATORIUM AGENS HAYATI),62321393434
TERMINAL TICKET,062-31-8552001
PT. DINAMIKA ENERGITAMA NUSANTARA,62-31-8555415
BLITAR PARTNERS,+62-0342-7705900
SOLUSI SISTEM INFORMASI,62-31-8721731
AMPM HOSTING,62-31-3930725
PT. MITRA SARUTA INDONESIA,62318977777
PT. MITRA SARUTA INDONESIA,62-31-8977777
PT. IRON ORE INDONESIA,62-85-2300-18756
PT. TREESDJOJO CPP INTERNATIONAL TRADING,62318971189
EDYS GALLERY,6285850183925
PT.MUNTIARA RAKIT TIGA,+62315921002/+623171985617
CJ FEED JOMBANG,62-31-497200
Undefined,62-31-497200
KREASINDO JAYA,81703984356 (+62-81703984356)
PT.SINAR PRIMA ABADI,62-31-60109468
BROMO PERMAI 1,62-335-432501
SAMOLA DJ SHOP,+62-31-8484004
GIFT GRACE SILVER,+62-31-70495595
PT. BISI INTERNATIONAL TBK.,+62-354-392624
CV. MULTI KARYA TEHNIK,628123231771
TWIN R,62-341-7008181
CV. JAYA WIJAYA,62-31-8700365
TRISULA SOLUSINDO,62-31-8478779
PT. RIKIO INDONESIA,62-0341-425102
OFFICIAL INDONESIA EMPLOYMENT AGENCY - PT. PANUTAN LANGKAH MANDIRI,(62) 31 562 4321 (+62-(62) 31 562 4321)
INDOGARMENT INDUSTRY,+62-31-8492993
PT. STAFINDO BARA UTAMA,+62 31 71991146
PT. DJASULA WANGI,62 31 8417484
TELECENTER GLOBAL,0324-335234 (+62-0324-335234)
CV MESTECH,0341-7715759 (+62-0341-7715759)
PT.ISTANA CIPTA SEMBADA,62318532200
UD SANTOSO GROUP,62 0321 490171
PT. E-T-A INDONESIA,+62 343 740 140/141
D BOUTIQUE,031-71630268 (+62-031-71630268)
CV REMIFA,+62-353 - 882356
CV. AUTUM MANDIRI,031 - 3930685 (+62-031 - 3930685)
PT COSMO INDOPRIMA,62-31-3895586
PT. INTERJAYA SURYA MEGAH,031-8497070 (hunting) (+62-031-8497070 (hunting))
H2 SUPPLIER,62-31-71475707
"GLORY SENTOSA, CV",+62 31 8781772
B'WIN SURABAYA - EAST JAVA RENT CAR - INDONESIA,"62-31-8796062,71913981,70666667,70128081"
HEASOFT INDONESIA,62-341-336066
NEDEEBOSS,626107853
UD MURNI ABADI CONT'R,62-31-3956215
HANDIKA TEKNIK,85850070582 (+62-85850070582)
"SUGENG WIDODO, UD",+62-8885135498
NUKITSUKE - MARTIAL ARTS ONLINE STORE,+62813 5763 5764
DAYAT_COMP,628563121285
MEDICAL BROKER,3160222920 (+62-3160222920)
CV. INTAN SELA VANIA,0341-7656993 (+62-0341-7656993)
MEDIA KOMPUTINDO,+62-031-60727210 / +62-031-5967968
CV SIGMA TEKNIK,623171456856
MALANG LOBSTER AIR TAWAR,62-8563523258
UD. CLARA,031-71099103 (+62-031-71099103)
MICROMEDIA COMPUTER,62315456883
CV. TOYOJOYO,+62-31-7319059
PRINZESSIN,62-31-71078963
BINTANG KECIL,62-31-562497
PT. SINAROZORA LESTARI,+62-31-3537688
PRIMA COPYCENTER & STATIONERY,+62 31 8477866
BINAR SURYA GEMILANG,623170966324
CENTRAL RQUIPMENT,623170101245
EDEN 9 INTERNATIONAL TRADING HOUSE,62-331-423184
PT. MULTI ROYALINDO SEMESTA,+6221-4707583
CV. GLOBALINDO BUANA,062-31-7326121 / 70078177
DANINI LEGE UTAMA LEATHER PT.,62317872319
CV. ALKHA MITRA PERKASA,031-7313318 (+62-031-7313318)
TEJA UTAMA AGRIUSAHA,62335424218
PT. ALMEGA SEJAHTERA,62-31-5026547
UD.MAKMUR JAYA,62355794585
CV. ALAM SURYA MANGGALA,8563041999 (+62-8563041999)
LOTUSTRADING,+62-888-5335800
WHS SARUNG TENUN,- (+62--)
PT. MARGOMULYO,62-31-596 0920
CV. KARYA SENTOSA,031-8534771 (+62-031-8534771)
PT. ASSOFA SUKSES ABADI/CV. JAYA ABADI,62-31-71312536
CV. CENTRAL NIAGA,031-60726663 (+62-031-60726663)
"HARAPAN INVESTINDO NUSANTARA, PT",62-31-8492673
UD. PANCURAN BARU,62313285733
PT. SINAR MENTARI GEMILANG (SMG),081-831-7782 (+62-081-831-7782)
RACOMSPEC,62-31-3295151
NEXTSTATION,0341-7014025 (+62-0341-7014025)
INTRA COMPUTER,623160727275
PT.KAWAN KITA SEJATI,031-535999 (+62-031-535999)
CV.RACHMAT,623437779444
CV. ARJUNA PERKASA,+62-341-470283
PT. PAL INDONESIA (PERSERO),62-31-3297839
MITRA LOGISTIC INDONESIA,031 5676879 (+62-031 5676879)
UD. BAN MADJU MADIUN,0351 462467 (+62-0351 462467)
PT VARIA USAHA,62-031-3981463
PT. VARIA USAHA DHARMA SEGARA,62-31-3973413
MULYADI FARM,62 - 816 1382 643
SITUBONDO FURNITURE,62338670530
KOLEKSI KERIS,628179343009
KOLEKSI KERIS,8179343009 (+62-8179343009)
PAM'S ACCESSORIES,62-31-5314514
Undefined,62-31-5314514
MONDOL CELL,+62 31 5456883 / +62 31 8792674
KESATUAN BISNIS MANDIRI INDUSTRI KAYU CEPU (KBM IK CEPU),+62-296-421323
PT. API,356326053 (+62-356326053)
PERUSAHAAN PRIBADI,+62-31-5340358
SURYA GEMILANG,"+62-341-355774,7790058"
PT. AGRINDO JAYA,62-31-70042564
PT YAMATAKE BERCA INDONESIA,62315631575
AZZAHRA HANDICRAFT,+62-852-58-000-599
DND GROUP,8123190108 (+62-8123190108)
CV AMJAD,3416215578 (+62-3416215578)
JENGGOTZ NURSERY,85649981946 (+62-85649981946)
CV BASEFF,0343-421286 (+62-0343-421286)
MEDIA AKSES,62-31-60587028
NIAGARA MUSIK,+62 355 320868
OREDMAS,6285648190307
AFIATCO,0331-7797537 (+62-0331-7797537)
YOSENKO,818384171 (+62-818384171)
CV.RAMANDA FAJAR ABADI,331338211 (+62-331338211)
Undefined,331338211 (+62-331338211)
"JAYA SEJAHTERA, CV",+62 811 34 35 8 36
PT INNI JOA (PMA),62317344959
PUTRA JAYA HARFLEX,Privat (+62-Privat)
PTGAMTERJAYA,031 3770943 (+62-031 3770943)
CV.MITRA SUKSES MANDIRI,62-343-7788339
CV.ARYA INDONESIA,8883197791 (+62-8883197791)
ADMIRAL,0341-404170/085-649617396 (+62-0341-404170/085-649617396)
PT ARFAK,811341918 (+62-811341918)
EKO_MEBEL_KUNO,62341725113
SANGGAR TUBAGUS,62341713258
PJ_INDO_ALAM_SEHATI,+62-0341-8103220
PT. KASIH PRIMA,62-31-71535277
CABLINPLANTATION,351385037 (+62-351385037)
PT.RADIO BAHANA SWARA CITRA BONDOWOSO,0332-7700935 (+62-0332-7700935)
LINTAS BUANA,62315624252
PROVENCDMEDIC,+6231 60322633
PAS JAVA MEDIA,623437762623
SUKSECO,6281803178310
BLACK BOX OFFICE,62315995037
PROFESSIONAL DATA ANALYST,(031) 5995037 (+62-(031) 5995037)
CV.MIMI,+62 81334553393
CV KARYA INTI SUKSES,8125223606 (+62-8125223606)
CV. ALLBATH,62-31-3991340
UD.EMPAT LIMA,62355323239
UD.WISNU,81931055905 (+62-81931055905)
COPA GABANA PARFUM,62-031-3987773
PT.SAMUDRAYUANA ANJATRANS,062-031-3543932
PT.EVANTRADE AND INDUSTRY,+ 62 31 3555134 (+62-+ 62 31 3555134)
PT. BAHTERA KURNIA INDAH,62313570903
PT.INDOEXPO UTAMA,313570903 (+62-313570903)
NENS CORNER,031-5671088 (+62-031-5671088)
PT. CV. SINAR KENCANA PWK SURABAYA-WWW.KENCANAONLINE.COM,+62-31-60564705
INOS COCK,62-341-725444
CV. SHALDAN C.A,62341345968
PIALA MAS,62355321383
WIN SEJATI,085230835141/ 08883419461 (+62-085230835141/ 08883419461)
JAVA-TRANSPORT TOUR AND RENT A CAR,+62 0341 724151
CV.PUTRA KIMIA,(031)8546127 (+62-(031)8546127)
BAMBOE UNIQ,623170200581
UD. SURABAYA TRADING COMPANY,62-31-8479998 / 62-31-8483600
CIKAL MANDIRI,062-31-70288160/081553806728
PUSAKAINDONESIA,62-31-72040180
TRI KONSULTAN,+62 31 8291003
ANDITA HAND EMBROIDERY & PAINTING,623170721101
178 AMEDIA DIGITAL SYSTEM,62-031-8271152
CV.MESINDO UTAMA,+62 31 8071371
MYSHOPFASHION,62341591352
TAMER HOUSE,031-3982649 (+62-031-3982649)
KOPAG JAMUR PACET MOJOKERTO,62321691234 / 691754
CV.KIMINDO,62-0818314598 62-0818317742
PT. ABM LOGISTIC SOLUTIONS,+62 31 534 5359
TEMPTATION PERFUMES,"62-31-8538573 , 60542117"
OLIVJOYS,031-71138388 (+62-031-71138388)
INCOMEWAY,63498765 (+62-63498765)
GANETA RENT CAR SURABAYA,+62 31 867 4222
PAPASAMSU CO.LTD.,62315981722
PT.NIAGAMAKMUR ADIDAYA,62-31-7496979
DURAPOSITA,628176540345
CV ANUGERAH SANTOSA ABADI,"+6231-91007893 , +623170138567"
TU7UAN,3160327006 (+62-3160327006)
CHARISMAPOS,08123213750/031.71923163 (+62-08123213750/031.71923163)
PANGESTUCO,62-031-5045720
DIMENSI INTERIOR,+6231-7390232
DEGLACE,+62-31-8666216
PRATAMA GIRI,8123056081 (+62-8123056081)
ANEKA CIPTA DAYA KOMPUTER,031-3811259 (+62-031-3811259)
PT.KENCANA ALAM ABADI,62-31-71704638
ARMAS PUTRATAMA,031-8942635 (+62-031-8942635)
PTAPASAJA,031-84563334 (+62-031-84563334)
SOGO CELLULAR,+623337705060/+628123485060
TRIPEL-P,85648829415 (+62-85648829415)
ARMENT TOUR & TRAVEL,62-31-706000048
PT.TEKNIK AGUNG JAYA RAYA,62 31 3533664
PT.KARTIKA EKA YUDHA MARITIM,62313281773
ARSINDO KIMIA,"62-31-70646262 , 3812354"
LUMBUNG REJEKI,620858801810
VEGE HEALTY SNACK,031-72600447 (+62-031-72600447)
ALIF SUPPLIER,62-031-71717379/71106679
PLASTIKINDO,85855207609 (+62-85855207609)
CV.AGRO MAS LESTARI,62 343 612491
JAVA STONE CV.,+62-341-532023
CV.ASRI,623417070555
TERATAI TRADING,+62-888-5335-800
ORYSU JACKET 'N CLOTHES SPECIALIST,+62856 337 52 47
TRAVELLER_JUNI,6321 71330750 (+62-6321 71330750)
P.O SARI INDAH,317879749 (+62-317879749)
PT MITRA SARUTA INDONESIA,62318977777
UDRISQIKATUL,(0343)745235 (+62-(0343)745235)
UD.ANEKA JAYA,"+62-31-3524675,52405444"
PERORANGAN,85746005300 (+62-85746005300)
PT.BANGUN PERSADA MAS MULIA,62 31 71330750
ADIPUTRO KARUNIA PLASTINDO,8563044581 (+62-8563044581)
SAVIRA,62-81-75219240
PT.SUNWAY TREK MASINDO,62-031-71545404
FLORISA DECORATION,62-31-8700650
SUMBER ALAM,620318713871
CV_EZKP,318710809 (+62-318710809)
FLORISA AGRO KUSUMA,62-31-70905488
UD.SHAHABAT NAJIN,628123134945
ADI,341836723 (+62-341836723)
ADRI CITRA,62318967061
AMMA LUI,623171083956
PT.AGUNG BUANA SENTOSA,62-31-3550081
SUN RISE,0341_417275 (+62-0341_417275)
COAL,- (+62--)
SYAHAB_GROUP,6208881982172
NUSANTARA KUSUMA,62-085645333962
HALDA QUANTUM,62-341-7394843
ARDITECH,0341-552844 (+62-0341-552844)
LINDA JAYA PERWAKILAN MALANG,62341403800
SPECT_NUSANTARA,"Suparno: Telp +62817323573,031-71959798,Risfan :031-72582925 (+62-Suparno: Telp +62817323573,031-71959798,Risfan :031-72582925)"
PT.BAROKAH ABADI,0341-3336226 (+62-0341-3336226)
BINA KARYA LESTARI,3172329113 (+62-3172329113)
SISTEMSEL,343611632 / 081703678168 (+62-343611632 / 081703678168)
PT.YTL JAWA TIMUR,+62.335.773100
PT RASHWA GETRA NIRWANA,+62 31 8546587
BINTANG TRADING COMPANY,628123404634
PT. AFA LINES,+62-031-3282178
CV BERKAH JAYA PUTRA,+62-0357-882905
FEO WEDDING ORGANIZER,81805188585 (+62-81805188585)
PT.DELAPAN PINTU UTAMA,62313958567
MOLUCCA EUCALYPTUS OIL,031 60140114 (+62-031 60140114)
PT.BERKAT ANUGERAH RAYA,031-5321104 (+62-031-5321104)
PT.SAMUDRA SEMAR,031-3555926 (+62-031-3555926)
PLUM,031-70793166 (+62-031-70793166)
CV.ALMARFADI - OTHMANIAN TRADE CO.,62-81-913858900 (62)81-23361651
BLUE SKY TOUR & TRAVEL,62-31-5677677
PAITONTEMBAKAUINDONESIA,0335-772171 (+62-0335-772171)
CV PANDOWO LANGGENG,62343416731
CV MULIA JAYA,8175167019 (+62-8175167019)
IDIOGRAPHY,85233558701 (+62-85233558701)
YOYOK CINDIL TIKUS,031-71425560 (+62-031-71425560)
KYOSHI,+62 321 876161
MASFOOD DISTRIBUTION,062-354-478418
CV-SAMUDRA-INDAH,0351-746607 (+62-0351-746607)
UD.RAHMAT AGUNG,623557722971
YABBY FROM RAYHAN JAYA SUKSES MAKMUR,0342-800416 (+62-0342-800416)
MY NET MALANG,0341-5403057 (+62-0341-5403057)
JAVANET CYBERCAFE,341482716 (+62-341482716)
INTI SURYA,623171015959
"SAPTA BAHARI, CV.",+62(031)5922878
UNIQON,0341 709 8338 (+62-0341 709 8338)
MAMA BABY SHOP,031-60141759 (+62-031-60141759)
SECUREWARES,623170108733
INNOVA MULTI SYSTEM,62315981073
CV SUMBER MAS,62-81555610262
KASE NETWORKS,62351461641
PT. KAIBON INDAH,62-0351-458888
ALVEY CELLULAR,85233245820 (+62-85233245820)
CV. UNGGUL TARUNA MANDIRI,+62-31-71597203
P.T. ROTAN SARI INDONESIA.,62317492189
P.T. ROTAN SARI INDONESIA.,62317492189
POLTEKCO GROUP,62-0341-551340
"CV, ADJIE KARYA",341494516 (+62-341494516)
SHINTA PLASTIK,8179355109 (+62-8179355109)
DTC DIVERSIFY ENTERPRISE,+62-31-71844194
X POWER ENGINE PERFORMANCE FUEL SAVERTECH,08563079389-08885119097 (+62-08563079389-08885119097)
BEST CREATIVE,623217287272
PRIVATESCOLLECTION,6281330390089
CV. TM O.ZONE,3217252552 (+62-3217252552)
TONIK APEL,62341561236
HW MEBEL PART,3160255313 (+62-3160255313)
JURUSAN TEKNIK KIMIA POLITEKNIK NEGERI MALANG,62-0341-551340
UDDUAJAYA,62318433178
ANUGERAH JAYA,623170614370
DEENDY BOUTIQUE,031 - 7060 8558 (+62-031 - 7060 8558)
MAYAS CORPORATION,6285850966725
KNK DECORATION,623170692633
HING UD,81331252333 (+62-81331252333)
WWW.AUDIOMODIF.COM,62313895098
MULTI GLOBALINDO,031-3817368 (+62-031-3817368)
MAC AUTOMATION,62313897708
GANGDO PRODUCTION,062-031-3811006
PT. PRIMATALIM ABADI,62313819349
AHMED GLASS,62313538541
CENDANACRAFT,81357900097 (+62-81357900097)
SERASI TECHNOLOGIES,62-081-55058587
JOURNAL OF APPLIED SCIENCES IN ENVIRONMENTAL SANITATION,+62-31-5948886
CV BATU ALAM MULIA,623557709122
PERMATA,8885330980 (+62-8885330980)
U.D. MENARA ANUGRAH,031-3814596 (+62-031-3814596)
ANUGERAH CIPTA JAYA,62-31-70495909
MAKMUR_SENTOSA,324511930 (+62-324511930)
CV.ASIA ELECTRINDO,62 31 3813071 ; 3813069
ASIA FOOD INDONESIA P.T,62 31 3813071
PT. PRADJAMUKTI INTERNUSA UNIVERSAL,623172101528
Undefined,623172101528
AMMAR_TRADING,031-7530663 (+62-031-7530663)
AF LOBSTER AIR TAWAR MALANG,62341478427
RAHMAD ANTHURIUMCOM,623417774306
CV,62 31 8283201
MOJOARAM,318283435 (+62-318283435)
ANNION BABY,0341 7060628 (+62-0341 7060628)
Undefined,0341 7060628 (+62-0341 7060628)
KAYANGAN HIJAU,62-3217295747
PT. INDO YUMEN BOARD,062-031-5321550
QUEENTAL,+62856-464-88997 ;; +62888-387-8577
AQUATIC,623170847011
PUNOKAWAN JAYA,62317668260
GLORY KARYA ANUGERAH,+62-341-7722500
BERUANGART,62-31-60337917
KEDIRIBUNGA,0354-399039 (+62-0354-399039)
EVOSOFT,8883472019 (+62-8883472019)
WIN TOYS,0888 515 66 80 (+62-0888 515 66 80)
CV. PUTRA MANUNGGAL JAYA,+62-08563039324
CV LOYAL MEDIA SUKSES,"6231.766.4440, 6231.7250.1821"
SULARSIH LOBSTER FARM,358555472 (+62-358555472)
MICRO AUTOMATION,623170808295
PT. HEAVEN CHEMICAL INDONESIA,(62)31-3553177 (+62-(62)31-3553177)
UD TEGUH NUGRAHA,62313525022
BINTANGCO,81803333375 (+62-81803333375)
SUN-GLASS FURNITURE AND INTERIOR DESIGN,+62-031-70995510
KACANG MADURA,8165440469 (+62-8165440469)
INDO MAINAN,3171652930 (+62-3171652930)
PAMELOORANGE,+62 351 7705912
JAVACORP,+62 856 339 89 55
HUMBLE INTERPRETER,62-888-3006005
KIOS SOFTWARE,62-31-5941606
BITS SOFTWARE,"+62 31 7104.0788, 7104.0799"
J&T ARCHITECT,031-60513080 (+62-031-60513080)
NUSANTARA JEWELRY,031-71367902 (+62-031-71367902)
ANIMESTUFFS.COM,081 332 978688 (+62-081 332 978688)
ANTONY PRODUCTION HOUSE,+62 31 60755885
ANUGRAH,623160647918
CV. FARDANA MULIA,+62-31-8291965
BELANJA-INN,031 60315796 (+62-031 60315796)
ASTRA INTERNATIONAL SURABAYA,62-31 8294730
CHARISMA,62355321155
VKIOS,62-31-60702021
DESIGN PRODUK,85645555541 (+62-85645555541)
ASTRO-CENTURY (08123122333),+62-31-8795888
BOLAMAS INDAH NUSANTARA,62-31-5944988
KAMPOENG IKAN,+62 81 331 951 099
AKSARA COMMUNIATIONS,031 593 0194 (+62-031 593 0194)
"CIDO CITRA DIGITAL OFFSET, SURABAYA",+6231 700 511 41
SECUREWARES,62-31-705 88 605
DATACOM SYSTEM WWW.SOLUSIPOS.COM,62-31-5929339
SPJ,62-31-7882519
INNOVABRIC CO,+62 31 7238 8897
SACERDOS ADV,+62-31-8665259
TJANDRA JAYA,62-31-60101061
BEAUTY NURSERY,62-031-7484567
MAN2004,+62-81-703339229
WINCORE,62-31-5051008
KOTAKOM,62313990789
PAGSURABAY,031 7491907/7499759 (+62-031 7491907/7499759)
PIT ELEKTRONIK SURABAYA,031-8014752 (+62-031-8014752)
CV. BIRAWA CARTILAK,62-31-7041-1383
CV. INFORMEDIA COMPUTINDO,62315963990
PT. DHL DANZAS AIR & OCEAN INDONESIA,+62 31 8666535
PT. STANLY MALANG,62-341-
CV. SUMBER CIPTA KREASI,62318791661
CINEMAX ENTERPRISES,+62-341-711369
CV. SUGIARTI PLASINDO,031-8949939/8929466 (+62-031-8949939/8929466)
PRIMA CIPTA KOMUNIKASI (PRIME),+62-31-5920416
CV SINAR SAKTI LOMBOK,62-31-357 7888
GENTA MAS PRINTING,62-31-5346668
UD_HIDAYAH,62-343-7645619
ITS,6285257595096
ART2GALERY,6281330526689
UD. LANGGENG JAYA,+62-31-8972531
YUGO INC.,71909161 (+62-71909161)
AZZURRA,031-6072.9980 (+62-031-6072.9980)
OLCHI COLLECTION,62 31 7314743
DANINDO,62 8165414207
PT.JATIM PERDANA,85219735451 (+62-85219735451)
KOMKOM,62-31-5342505
ARTGALLERY,62318416269
DSS,85648447447 (+62-85648447447)
HAN'S FLORA,623170603999
UD.KING COCO,0331.77.97.889 (+62-0331.77.97.889)
ARTOMOROCO,62-31-72192645
PT BATU MULIA,62313899781
ANEKA CITARASA,3160112853 (+62-3160112853)
STEV N BRY COLLECTIONS,62313823842
FIRA INDONESIA,62-31-71028880
OPTICOM PRIMA SEJAHTERA,62-31-3812233
CV. BANYU BIRU,0856 5578 5088 (+62-0856 5578 5088)
PRO IDE CREATIVA,85233343700 (+62-85233343700)
SALES MOBIL MITSUBISHI&CHEVROLET,3417699853 (+62-3417699853)
CV WIDI ASTA DEWI MITRA,6281559805950
UD TUNGGAL,628123190206
PRRIMO FURNITURE CENTRE,341495449 (+62-341495449)
BRIGAFISCA,6281357577543
SEKAWAN COSMETICS,0062-31-8952885 (+62-0062-31-8952885)
UD. RIZKY WARDHANI,+62(0355)326919
HARDOT (HARAPAN INDO TEKNIK) - LIMITORQUE,(+62) 081 5506 1456 (+62-(+62) 081 5506 1456)
CIPTA MEDIA COMPUTER,0351-7820445 (+62-0351-7820445)
ARICOMPANY,6281359286543
CV BANI HASAN,62-31-71078928
INDOBETON,62-0341-7670556
SANI NURSERY,8155558360 (+62-8155558360)
KOIN-KOLEKTOR,6281335246580 (sms only)
TNT PAINTING,62-341-7065788
LINUX_PAIDI,623418126334
STAR COMP,628563555402
ERPM,85646612164 (+62-85646612164)
PEGASUS COMPUTER,+62 31 5348085
TOY TOY [RAFER] COLLECTION,62318674834
LAUTAN LUAS TRADING,62-31-72083811
Undefined,62-31-72083811
KINAWOOD INTERNATIONAL PT,62-31-5941348
PTANTARNUSA,62818329031
PERUSAHAAN DAERAH PASAR SURYA,031-5947573 (+62-031-5947573)
PASIFIK REDJEKI,62-31-5997533
NEWLIFE OUTDOOR/INDOOR PROMOTION & GENERAL TRADING,+6231 70041660
PT. SUMINA EKSTRAKSINDO,62-31-7491512
PT. SUPRA RAGA TRANSPORT,62 31 7495445
PTSGA,81330583694 (+62-81330583694)
LIA MANDIRI - CUSHION WWW.LIAMANDIRI.COM,+62 31 7491408
MERCURY-PLASTIC,62317492757
SURABAYA TRADING,62818511853
PT.PRIMAVINDO SEJAHTERA PRATAMA,62318477424
PILAR PRATAMA,62-31-70926950
CITITECH GADGET STORE,628155104052
AGITEC ELEVATOR & ESCALATOR (CV. ANNA GLOBAL INDO TECHNICS),62-31-70884393
PERORANGAN,317662397 (+62-317662397)
PT SIANTAR MADJU,62-31-7668888
PRAKARSA RECYCLING,62321597027
PINK HOUSE RENT CAR SURABAYA - INDONESIA,+62 31 71037706
U.D ELOK LESTARI,031-72380418 (+62-031-72380418)
CHACA ACCESSORIS,6281933303086
PT CHROMABRITE,85264400318 (+62-85264400318)
JASMINE OIL FACTORY,623545528601
PT. AJINOMOTO INDONESIA,0321 - 361710 (+62-0321 - 361710)
BELL ELEKTRONIK,623171060306
AI-TEE COMPUTER,623547029338
MULTI GUNA NIAGA CORP,62 341 579502
MIP-LOGISTICS,62-31-3579181
AZZAM PRINTER SOLUTION,623170916051
DUTA NYATA SEJAHTERA,62-71507575
EKA,8123532283 (+62-8123532283)
STEFANIE CATERING,62-31-5939909
SAVINA COLD STORAGE,savina_marketing@yahoo.co.id (+62-savina_marketing@yahoo.co.id)
PT.SAMUDRA FORTUNA JAYA,8121639228 (+62-8121639228)
UD ALIANA CORPORATION,"031-8929135, 081330894183 (+62-031-8929135, 081330894183)"
CV. MINISCALE,62-31-70401819
CV. WAHANA TEKNIKA,+62-031-89345774
CV. SENTRA SOLUSI,62 - 0852 5907 3737
RISAS,8563615117 (+62-8563615117)
REVERSING LABS.,+62-31-12345678
DWIEKA ADVERTISING,+62 31 70275155
PT. PRAMBANAN DWIPAKA,62315027878
CV. LIMASINDO PRATAMA,+62-31-70493817
FIRESOFT,315040332 (+62-315040332)
EED TRADING,62-031-60621440
JASHAKA,321382303 (+62-321382303)
DHARMALLA MULTIGRAPH INDONESIA,628174886786
TOKO NAM NAM,62-31-7882107
MOZ EDUCATION TOYS & BOOKS,62-31-71606010
CHOPSTICK DNP,3170705253 (+62-3170705253)
MULTITAMA,8999797674 (+62-8999797674)
PT. ALINDO MAKMUR SENTOSA INTERNASIONAL,+62-31-8706464
KONSTRAKTOR.COM,+62 (31) 8967356
BENAGRO,031-8676120 (+62-031-8676120)
BIAS COCONUT CRAFT,62 0343 852858
SUMBERJAYAELECTRIC,62-31-5314523
MIRANTI UTAMA,62-031-70888878
SARI ALAM SEJAHTERA,3171919259 (+62-3171919259)
PT. DELTA PUTRA PERKASA,62318287425
TRIMITRA JAYA,62-335-773917
CONNELL MULTI TRADE,3170030702 (+62-3170030702)
PR. AGENG JAYA,0818 0566 2155 (+62-0818 0566 2155)
CV TIKUS MAS JAYA,+62 31 739 1109
JAYA ABADI,62-31-60105726
UD MANNEQUIN INDONESIA,+62-343-7779357
GRANDZ SYSTEME,628155113388
CV FGV,(0254) 206022 (+62-(0254) 206022)
CV KARYA MANDIRI,62-31-72174439
PT. INOSOFT TRANS SISTEM,318791903 (+62-318791903)
TK. JULI JAYA,62-335-7605299
MITRA ASIA,62-31-8482662
CV. TRIO SURABAYA,62 31 8432727
GARISTEPI,+62 353 511 046
UTAMA PAGAR,62-31-71108880
OCEAN CITY HANDICRAFT & SOUVENIR,62-31-71108880
Undefined,62-31-71108880
